id,date,inner_temp,outside_temp,inner_humidity,co2,cumulative_radiation
1,2014-08-01 0:00,29.5,26.3,99.9,0,2220
2,2014-08-01 0:01,29.5,26.3,100,0,2220
3,2014-08-01 0:02,29.5,26.3,99.6,0,2220
4,2014-08-01 0:03,29.5,26.4,100,0,2220
5,2014-08-01 0:04,29.5,26.4,100,0,2220
6,2014-08-01 0:05,29.5,26.3,99.9,0,2220
7,2014-08-01 0:06,29.4,26.2,100,0,2220
8,2014-08-01 0:07,29.4,26.1,100,0,2220
9,2014-08-01 0:08,29.4,26.1,100,0,2220
10,2014-08-01 0:09,29.4,26.1,100,0,2220
11,2014-08-01 0:10,29.4,26.1,100,0,2220
12,2014-08-01 0:11,29.4,25.8,99.9,2,2220
13,2014-08-01 0:12,29.4,25.8,99.7,1,2220
14,2014-08-01 0:13,29.3,25.8,100,5,2220
15,2014-08-01 0:14,29.3,25.7,100,2,2220
16,2014-08-01 0:15,29.3,25.7,99.3,2,2220
17,2014-08-01 0:16,29.4,25.6,99.3,2,2220
18,2014-08-01 0:17,29.3,25.5,100,2,2220
19,2014-08-01 0:18,29.3,25.4,100,2,2220
20,2014-08-01 0:19,29.3,25.5,100,0,2220
21,2014-08-01 0:20,29.3,25.5,100,0,2220
22,2014-08-01 0:21,29.2,25.5,99.6,0,2220
23,2014-08-01 0:22,29.2,25.3,99.7,0,2220
24,2014-08-01 0:23,29.2,25.3,100,0,2220
25,2014-08-01 0:24,29.2,25.2,99.8,0,2220
26,2014-08-01 0:25,29.2,25.2,99.7,0,2220
27,2014-08-01 0:26,29.2,25.1,99.9,0,2220
28,2014-08-01 0:27,29.1,25.1,100,0,2220
29,2014-08-01 0:28,29.1,25.1,99.8,0,2220
30,2014-08-01 0:29,29.1,25.3,99.9,0,2220
31,2014-08-01 0:30,29.1,25.3,99.7,0,2220
32,2014-08-01 0:31,29.1,25.3,100,0,2220
33,2014-08-01 0:32,29,25.1,100,1,2220
34,2014-08-01 0:33,29,25.1,100,2,2220
35,2014-08-01 0:34,29,25.1,100,2,2220
36,2014-08-01 0:35,29,25.1,99.6,2,2220
37,2014-08-01 0:36,29,25.1,99.6,0,2220
38,2014-08-01 0:37,29,25.2,100,0,2220
39,2014-08-01 0:38,29,25.2,99.9,0,2220
40,2014-08-01 0:39,29,25.2,100,0,2220
41,2014-08-01 0:40,29,25.2,100,0,2220
42,2014-08-01 0:41,28.9,25.1,100,0,2220
43,2014-08-01 0:42,28.9,25.1,100,0,2220
44,2014-08-01 0:43,28.9,25.1,99.9,0,2220
45,2014-08-01 0:44,28.9,25,99.8,0,2220
46,2014-08-01 0:45,28.9,25.1,99.6,0,2220
47,2014-08-01 0:46,28.9,25.2,99.6,0,2220
48,2014-08-01 0:47,28.9,25.2,100,0,2220
49,2014-08-01 0:48,28.9,25.2,100,0,2220
50,2014-08-01 0:49,28.9,25.1,99.9,2,2220
51,2014-08-01 0:50,28.9,25.2,100,2,2220
52,2014-08-01 0:51,28.9,25.2,100,0,2220
53,2014-08-01 0:52,28.9,25.3,99.6,0,2220
54,2014-08-01 0:53,28.9,25.2,100,0,2220
55,2014-08-01 0:54,28.8,25.2,99.9,2,2220
56,2014-08-01 0:55,28.8,25.1,99.8,0,2220
57,2014-08-01 0:56,28.8,25.1,100,0,2220
58,2014-08-01 0:57,28.8,25.2,99.7,0,2220
59,2014-08-01 0:58,28.8,25.1,100,0,2220
60,2014-08-01 0:59,28.8,25.1,100,0,2220
61,2014-08-01 1:00,28.8,25.1,99.9,0,2220
62,2014-08-01 1:01,28.8,25.1,99.6,0,2220
63,2014-08-01 1:02,28.8,25,100,0,2220
64,2014-08-01 1:03,28.7,25,100,2,2220
65,2014-08-01 1:04,28.7,25,100,0,2220
66,2014-08-01 1:05,28.7,25,99.9,1,2220
67,2014-08-01 1:06,28.7,25,99.7,2,2220
68,2014-08-01 1:07,28.7,25,100,0,2220
69,2014-08-01 1:08,28.7,25,100,0,2220
70,2014-08-01 1:09,28.7,25,100,0,2220
71,2014-08-01 1:10,28.7,25.1,100,2,2220
72,2014-08-01 1:11,28.7,25.1,100,2,2220
73,2014-08-01 1:12,28.6,25.2,100,1,2220
74,2014-08-01 1:13,28.6,25.2,99,2,2220
75,2014-08-01 1:14,28.6,25.2,99.3,2,2220
76,2014-08-01 1:15,28.6,25.3,100,0,2220
77,2014-08-01 1:16,28.6,25.6,99.1,0,2220
78,2014-08-01 1:17,28.6,25.7,99.7,0,2220
79,2014-08-01 1:18,28.6,25.7,99.4,0,2220
80,2014-08-01 1:19,28.5,25.6,99.7,0,2220
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
